"job_title","total_employees","avg_under_50k","avg_50k_to_75k","avg_over_75k","salary_range_max"
Deputy Mayor,5,4057.17,,176393.85,173617.93
Police Lieutenant,65,0.00,,124572.50,138403.20
Corrections Major,6,0.00,,103878.39,117270.40
Assistant County Attorney,72,,67998.98,100457.57,103646.40
Director,43,,,133325.04,91223.81
Police Officer,836,0.00,66101.12,80508.30,91000.00
Attorney - NoEEORpt,15,,69136.60,102750.44,74080.50
Project Manager I,26,37074.23,73666.13,83500.80,65855.77
Staff Helper Internal,23,26470.30,53622.40,75004.80,61627.80
Executive Administrator,69,,,102142.18,49803.93
Administrative Asst - NoEEORpt,12,42666.87,57234.94,81910.40,47512.40
EMS EMT-Paramedic I,49,49608.00,68256.69,85286.50,43451.20
Nutrition Services Spec U317,6,33221.50,63741.60,,40978.60
Community Hlth Nurse Spec U310,7,31670.08,60387.60,,40160.64
Economic Development Coordinator,13,42549.67,72953.38,78427.20,39082.60
Parks & Rec. Aide,185,33691.48,52000.00,,39000.00
Administrative Assistant,37,46865.37,56654.00,82721.60,38521.60
Legislative Assistant,25,,70283.68,85141.20,37793.60
Victim Advocate,13,46558.20,57443.36,79638.00,35271.60
Captain-Pilot,5,26520.00,60663.20,,35131.20
